date,ethereum,binancecoin,solana,ripple,dogecoin
2015-01-31T00:00:00,0.0,0.0,0.0,42075150.0,11178321.266005743
2015-02-28T00:00:00,0.0,0.0,0.0,21022355.0,2538074.8070405484
2015-03-31T00:00:00,0.0,0.0,0.0,35439040.0,2337384.264238591
2015-04-30T00:00:00,0.0,0.0,0.0,14896006.15616851,1451600.6365028503
2015-05-31T00:00:00,0.0,0.0,0.0,17595378.23572204,6259949.729754415
2015-06-30T00:00:00,0.0,0.0,0.0,14618734.480898969,10248096.537414549
2015-07-31T00:00:00,0.0,0.0,0.0,13819771.111244915,6061203.954240815
2015-08-31T00:00:00,38237180.274311304,0.0,0.0,10003470.515861562,1854553.6796354665
2015-09-30T00:00:00,18903744.672048308,0.0,0.0,12285473.898269791,1650523.6158622883
2015-10-31T00:00:00,19689583.220693927,0.0,0.0,12659046.0,879725.3068507684
2015-11-30T00:00:00,25814845.75221217,0.0,0.0,12014264.0,1487846.8772640838
2015-12-31T00:00:00,14215944.658508366,0.0,0.0,37800962.0,2655330.111568612
2016-01-31T00:00:00,91312560.2929373,0.0,0.0,18214281.0,8191609.244948994
2016-02-29T00:00:00,338680366.0295119,0.0,0.0,25670567.0,3991760.668435781
2016-03-31T00:00:00,905494480.0588452,0.0,0.0,24014594.0,4594567.847045592
2016-04-30T00:00:00,474681089.7269171,0.0,0.0,21529883.0,3210373.0860700333
2016-05-31T00:00:00,821306212.4017318,0.0,0.0,16076131.0,3509672.3887312897
2016-06-30T00:00:00,1197379784.97224,0.0,0.0,57030732.0,10844899.27515381
2016-07-31T00:00:00,762624038.0711654,0.0,0.0,23146785.0,5135469.694404865
2016-08-31T00:00:00,392445436.5996204,0.0,0.0,29036115.0,7986381.598128412
2016-09-30T00:00:00,273300046.8578552,0.0,0.0,95827196.0,4468135.223931323
2016-10-31T00:00:00,221440096.90243122,0.0,0.0,91647063.0,2938483.978899528
2016-11-30T00:00:00,200205898.9703852,0.0,0.0,60524336.0,2979136.176743433
2016-12-31T00:00:00,310073449.0096913,0.0,0.0,55889701.0,3141968.032248114
2017-01-31T00:00:00,328634825.49234486,0.0,0.0,39154606.0,4143392.950934304
2017-02-28T00:00:00,301176774.3948756,0.0,0.0,23660569.0,2606575.008407045
2017-03-31T00:00:00,2806994525.143286,0.0,0.0,219003313.0,16140611.023045864
2017-04-30T00:00:00,2149212035.396993,0.0,0.0,1099784260.0,51671575.85613414
2017-05-31T00:00:00,8390794834.250584,0.0,0.0,5767987600.0,551802593.4241858
2017-06-30T00:00:00,14189100600.362621,0.0,0.0,6018856400.0,343333877.5964576
2017-07-31T00:00:00,11278885600.222757,0.0,0.0,3789921100.0,116204056.85593492
2017-08-31T00:00:00,18036419231.293377,0.0,0.0,9082848800.0,118770703.03182355
2017-09-30T00:00:00,17601015455.90047,823.6099063016838,0.0,3715289000.0,201498098.4010936
2017-10-31T00:00:00,9831508354.177118,5736148.377572017,0.0,6805709200.0,94363670.24565782
2017-11-30T00:00:00,22452649883.171112,181604208.43789655,0.0,7025311000.0,147030160.59446448
2017-12-31T00:00:00,43607561623.91766,1099668421.3886073,0.0,60426225000.0,1372574800.1877398
2018-01-31T00:00:00,84900199597.85648,5106258007.262905,0.0,104075702000.0,1810335908.471708
2018-02-28T00:00:00,50267267102.24941,1318593928.2640994,0.0,36875185000.0,417302087.1434529
2018-03-31T00:00:00,36508525170.64373,2491143253.8347664,0.0,17430765000.0,208139490.5920431
2018-04-30T00:00:00,34452638222.1234,2651517938.99805,0.0,21373050630.063095,407412137.9770137
2018-05-31T00:00:00,42531256910.69833,1761361222.6974792,0.0,13781914013.230665,530840221.8009714
2018-06-30T00:00:00,37617829129.65962,2348998735.0381813,0.0,8327390761.013132,214219188.97527662
2018-07-31T00:00:00,68652513286.16086,1563194447.291619,0.0,7921044766.176572,258356234.81003806
2018-08-31T00:00:00,74082580991.46082,1113174822.3740885,0.0,9018880632.005703,187660044.8760995
2018-09-30T00:00:00,80904146204.84854,700304726.4662256,0.0,23191646725.292217,2179627073.992214
2018-10-31T00:00:00,41279296831.9038,855106490.969719,0.0,19015551709.34033,1450767177.2956958
2018-11-30T00:00:00,52698896379.1065,478983304.90197015,0.0,28382895934.730515,1120137677.7174697
2018-12-31T00:00:00,58745717278.306145,687533227.4524807,0.0,21720157135.982315,917183809.0174372
2019-01-31T00:00:00,63858709195.118835,1157825641.9151518,0.0,15398103423.06227,758382217.0001683
2019-02-28T00:00:00,92214831490.4199,2702232299.6275487,0.0,17982723026.08906,752672518.0468209
2019-03-31T00:00:00,143502898044.26886,5074742463.226668,0.0,26483463830.816498,1037192935.4514834
2019-04-30T00:00:00,232572645098.27222,7469502705.1656065,0.0,43579605547.42237,2599187813.5041494
2019-05-31T00:00:00,320383137014.0972,11484482195.73974,0.0,72796822356.66484,2523958887.6495533
2019-06-30T00:00:00,325695767295.2783,14211586448.318178,0.0,71629646152.42542,2987823008.349414
2019-07-31T00:00:00,323229472877.73364,8827772851.453773,0.0,62284434243.15492,2513851722.9947653
2019-08-31T00:00:00,247255137573.05484,6341668325.203442,0.0,43061187251.950676,1593636126.9530067
2019-09-30T00:00:00,240991289387.55548,4864441648.340031,0.0,46046222000.68709,1812492648.5518162
2019-10-31T00:00:00,256461497032.1483,6048748652.685069,0.0,61870086464.21319,2401272734.6335044
2019-11-30T00:00:00,272358020045.257,6249709317.713387,0.0,54130438988.35416,2512955920.7800975
2019-12-31T00:00:00,211823765009.11172,5796423640.700458,0.0,40130308723.55589,1677414994.1469812
