date,bitcoin,ethereum,tether,binance-usd,solana,usd-coin,ripple,dogecoin,cardano,shiba-inu
2015-02-18,88821471.77949807,0.0,0.0,0.0,0.0,0.0,402140.0,47082.90994122504,0.0,0.0
2015-02-19,71396084.8246788,0.0,0.0,0.0,0.0,0.0,296507.00000000006,38738.56288514293,0.0,0.0
2015-02-20,80482172.09597999,0.0,0.0,0.0,0.0,0.0,1034010.0,46557.02527854667,0.0,0.0
2015-02-21,64143296.19994164,0.0,0.0,0.0,0.0,0.0,333173.99999999994,36100.27588649852,0.0,0.0
2015-02-22,74180476.06972592,0.0,0.0,0.0,0.0,0.0,594182.0000000001,38618.59039571809,0.0,0.0
2015-02-23,61755698.92656742,0.0,0.0,0.0,0.0,0.0,432861.00000000006,39948.08637068939,0.0,0.0
2015-02-24,58732103.48183354,0.0,0.0,0.0,0.0,0.0,611327.0000000001,45444.00745824232,0.0,0.0
2015-02-25,57584610.05522578,0.0,5.0,0.0,0.0,0.0,483777.0,79266.2345016403,0.0,0.0
2015-02-26,44991044.50687964,0.0,0.0,0.0,0.0,0.0,863495.0,59735.79485525501,0.0,0.0
2015-02-27,137186494.71170896,0.0,0.0,0.0,0.0,0.0,980864.0,121026.0053100756,0.0,0.0
2015-02-28,85884430.30666418,0.0,0.0,0.0,0.0,0.0,530067.9999999999,63101.29666039276,0.0,0.0
2015-03-01,58106060.44444854,0.0,0.0,0.0,0.0,0.0,1541400.0,80891.23446872486,0.0,0.0
2015-03-02,93658288.66772272,0.0,2.0,0.0,0.0,0.0,1246390.0000000002,61724.65086200613,0.0,0.0
2015-03-03,128754965.89965025,0.0,0.0,0.0,0.0,0.0,3050010.0000000014,97246.47631845193,0.0,0.0
2015-03-04,119553919.98697218,0.0,0.0,0.0,0.0,0.0,3043820.0,91110.71412423742,0.0,0.0
2015-03-05,98543018.35211968,0.0,0.0,0.0,0.0,0.0,3093860.0000000005,83146.45908848579,0.0,0.0
2015-03-06,74704492.0402275,0.0,50.0,0.0,0.0,0.0,986763.0,43612.42919647078,0.0,0.0
2015-03-07,50059694.67622344,0.0,58196.0,0.0,0.0,0.0,1136159.9999999998,30458.76556722998,0.0,0.0
2015-03-08,45050575.22814669,0.0,31.0,0.0,0.0,0.0,1370390.0,50154.05443160497,0.0,0.0
2015-03-09,111062141.12648012,0.0,137.0,0.0,0.0,0.0,2114810.0,47940.80883648983,0.0,0.0
2015-03-10,129285347.54407711,0.0,50006.0,0.0,0.0,0.0,1657920.0000000002,89275.46927750834,0.0,0.0
2015-03-11,73794326.12201199,0.0,46.0,0.0,0.0,0.0,1233900.0,99079.843402805,0.0,0.0
2015-03-12,65277495.588918425,0.0,80421.0,0.0,0.0,0.0,682560.0000000001,72057.49639750378,0.0,0.0
2015-03-13,67739327.34903467,0.0,75.0,0.0,0.0,0.0,696782.0,86207.17636587535,0.0,0.0
2015-03-14,63244191.82668233,0.0,17706.0,0.0,0.0,0.0,795320.0000000001,98339.39157479734,0.0,0.0
2015-03-15,32203956.61897762,0.0,15124.0,0.0,0.0,0.0,409911.9999999998,63421.23347682196,0.0,0.0
2015-03-16,60818266.22008967,0.0,49631.0,0.0,0.0,0.0,858077.9999999999,65645.01205966143,0.0,0.0
2015-03-17,50540130.74794698,0.0,4284.0,0.0,0.0,0.0,791118.9999999999,75960.97692811071,0.0,0.0
2015-03-18,123648767.77025564,0.0,58.0,0.0,0.0,0.0,1627629.9999999998,119477.155008804,0.0,0.0
2015-03-19,133194355.06279548,0.0,857.0,0.0,0.0,0.0,2781010.0000000014,101730.9537755353,0.0,0.0
2015-03-20,59404464.50294682,0.0,132.0,0.0,0.0,0.0,473002.00000000006,38442.2930851421,0.0,0.0
2015-03-21,54148215.13499707,0.0,206.0,0.0,0.0,0.0,395304.0,81265.82869084897,0.0,0.0
2015-03-22,51503307.06679215,0.0,66.0,0.0,0.0,0.0,306336.99999999994,121567.75157846564,0.0,0.0
2015-03-23,73040649.64393184,0.0,65.0,0.0,0.0,0.0,652545.0,154789.48750462892,0.0,0.0
2015-03-24,153991184.32363835,0.0,1179.0,0.0,0.0,0.0,627596.0000000001,100603.64665482828,0.0,0.0
2015-03-25,175875957.5910767,0.0,93.0,0.0,0.0,0.0,1141160.0,85130.53821137096,0.0,0.0
2015-03-26,148675593.25572366,0.0,2.0,0.0,0.0,0.0,614812.0,55426.56297915935,0.0,0.0
2015-03-27,90325941.05609,0.0,4.0,0.0,0.0,0.0,469718.0,35617.301740404546,0.0,0.0
2015-03-28,82125758.55914597,0.0,10.0,0.0,0.0,0.0,410183.0,48858.4956800977,0.0,0.0
2015-03-29,84472855.7931449,0.0,27.0,0.0,0.0,0.0,410183.00000000006,63575.62493800517,0.0,0.0
2015-03-30,96641741.12450412,0.0,494.0,0.0,0.0,0.0,410183.0,39920.90743438114,0.0,0.0
2015-03-31,76545513.49477836,0.0,37.0,0.0,0.0,0.0,410183.00000000006,54705.524580133286,0.0,0.0
2015-04-01,78230800.04911813,0.0,0.0,0.0,0.0,0.0,725414.0,75085.45260102981,0.0,0.0
2015-04-02,95206093.35512508,0.0,12864.0,0.0,0.0,0.0,385165.0,39287.90244222437,0.0,0.0
2015-04-03,94243302.2942574,0.0,79969.0,0.0,0.0,0.0,1008220.0,37501.009170916856,0.0,0.0
