date,bitcoin,ethereum,binancecoin,solana,ripple,cardano,avalanche-2,polkadot,chainlink,tron,dogecoin
2015-01-01T00:00:00,4293958347.0000014,0.0,0.0,0.0,755121561.0751997,0.0,0.0,0.0,0.0,0.0,17803324.487520907
2015-01-02T00:00:00,4301448334.7,0.0,0.0,0.0,753262876.5632,0.0,0.0,0.0,0.0,0.0,17847327.829851262
2015-01-03T00:00:00,3921358112.1,0.0,0.0,0.0,689881734.704,0.0,0.0,0.0,0.0,0.0,16323200.16345194
2015-01-04T00:00:00,3571639780.8,0.0,0.0,0.0,584091607.896,0.0,0.0,0.0,0.0,0.0,15385008.373915909
2015-01-05T00:00:00,3740880426.5,0.0,0.0,0.0,626686461.296,0.0,0.0,0.0,0.0,0.0,15602472.33662792
2015-01-06T00:00:00,3908408221.350001,0.0,0.0,0.0,640626595.136,0.0,0.0,0.0,0.0,0.0,16448463.56190488
2015-01-07T00:00:00,4053238742.4375,0.0,0.0,0.0,645273306.416,0.0,0.0,0.0,0.0,0.0,16889825.69755201
2015-01-08T00:00:00,3897824162.25,0.0,0.0,0.0,640719529.3616,0.0,0.0,0.0,0.0,0.0,16468151.135741305
2015-01-09T00:00:00,3968992614.285001,0.0,0.0,0.0,637404875.3152,0.0,0.0,0.0,0.0,0.0,16655517.074789329
2015-01-10T00:00:00,3763909199.925,0.0,0.0,0.0,598062719.8112,0.0,0.0,0.0,0.0,0.0,15947420.962715449
2015-01-11T00:00:00,3664201453.6,0.0,0.0,0.0,583472046.392,0.0,0.0,0.0,0.0,0.0,15651426.830625802
2015-01-12T00:00:00,3681154854.371071,0.0,0.0,0.0,573806886.9296,0.0,0.0,0.0,0.0,0.0,15291501.08199948
2015-01-13T00:00:00,3038251389.3,0.0,0.0,0.0,484187315.376,0.0,0.0,0.0,0.0,0.0,13060605.880534803
2015-01-14T00:00:00,2362639549.8525,0.0,0.0,0.0,438866391.3584,0.0,0.0,0.0,0.0,0.0,11131350.477998309
2015-01-15T00:00:00,2890521922.995,0.0,0.0,0.0,510859438.1232,0.0,0.0,0.0,0.0,0.0,13701628.580790237
2015-01-16T00:00:00,2826188131.0,0.0,0.0,0.0,508845863.2352,0.0,0.0,0.0,0.0,0.0,13715435.97476578
2015-01-17T00:00:00,2740019366.285,0.0,0.0,0.0,476566708.8768,0.0,0.0,0.0,0.0,0.0,13221857.129972614
2015-01-18T00:00:00,2871292169.34,0.0,0.0,0.0,484373183.8272,0.0,0.0,0.0,0.0,0.0,13475161.2063957
2015-01-19T00:00:00,2948379298.875,0.0,0.0,0.0,495618225.1248,0.0,0.0,0.0,0.0,0.0,13712589.629115136
2015-01-20T00:00:00,2893626589.035,0.0,0.0,0.0,499025813.3968,0.0,0.0,0.0,0.0,0.0,13774233.530484367
2015-01-21T00:00:00,3080429686.665,0.0,0.0,0.0,517550702.3664,0.0,0.0,0.0,0.0,0.0,14951688.17392989
2015-01-22T00:00:00,3191202338.1525016,0.0,0.0,0.0,526162607.272,0.0,0.0,0.0,0.0,0.0,15136989.166790972
2015-01-23T00:00:00,3203686663.5,0.0,0.0,0.0,518077329.6448,0.0,0.0,0.0,0.0,0.0,15223921.238282464
2015-01-24T00:00:00,3413521852.0,0.0,0.0,0.0,519006671.9008,0.0,0.0,0.0,0.0,0.0,16223888.923208272
2015-01-25T00:00:00,3493324595.8274984,0.0,0.0,0.0,512253451.5072,0.0,0.0,0.0,0.0,0.0,16392644.697832126
2015-01-26T00:00:00,3734336330.640001,0.0,0.0,0.0,494317145.9664,0.0,0.0,0.0,0.0,0.0,15962842.927596131
2015-01-27T00:00:00,3568728002.06,0.0,0.0,0.0,489670434.6864,0.0,0.0,0.0,0.0,0.0,15591744.719203511
2015-01-29T00:00:00,3203612158.433073,0.0,0.0,0.0,454882056.2368,0.0,0.0,0.0,0.0,0.0,14173979.943110298
2015-01-30T00:00:00,3150704413.815,0.0,0.0,0.0,448531550.8208,0.0,0.0,0.0,0.0,0.0,13885525.2832997
2015-01-31T00:00:00,3005342178.85,0.0,0.0,0.0,446363085.5568,0.0,0.0,0.0,0.0,0.0,13540511.947591512
2015-02-01T00:00:00,3119897131.48,0.0,0.0,0.0,438463676.3808,0.0,0.0,0.0,0.0,0.0,14070637.549415683
2015-02-02T00:00:00,3310466195.25,0.0,0.0,0.0,425638753.248,0.0,0.0,0.0,0.0,0.0,14768461.381304609
2015-02-03T00:00:00,3117998019.1275,0.0,0.0,0.0,403644319.856,0.0,0.0,0.0,0.0,0.0,14282973.17623866
2015-02-04T00:00:00,3109175682.095,0.0,0.0,0.0,417336629.0944,0.0,0.0,0.0,0.0,0.0,14222846.462170696
2015-02-05T00:00:00,2994172300.44,0.0,0.0,0.0,443327234.1872,0.0,0.0,0.0,0.0,0.0,13692889.269821191
2015-02-06T00:00:00,3072075446.7,0.0,0.0,0.0,486350143.289054,0.0,0.0,0.0,0.0,0.0,14124030.271990295
2015-02-07T00:00:00,3138151161.072499,0.0,0.0,0.0,464971413.725764,0.0,0.0,0.0,0.0,0.0,14217880.825953284
2015-02-08T00:00:00,3079497925.3725,0.0,0.0,0.0,461142387.535324,0.0,0.0,0.0,0.0,0.0,13887014.176683985
2015-02-09T00:00:00,3041547650.985,0.0,0.0,0.0,446879264.975935,0.0,0.0,0.0,0.0,0.0,13782690.41983904
2015-02-10T00:00:00,3049996660.2725,0.0,0.0,0.0,435583637.714137,0.0,0.0,0.0,0.0,0.0,13714326.208135149
2015-02-11T00:00:00,3029418429.03,0.0,0.0,0.0,439093578.388707,0.0,0.0,0.0,0.0,0.0,13580705.43723223
2015-02-12T00:00:00,3070809845.027513,0.0,0.0,0.0,448538509.658459,0.0,0.0,0.0,0.0,0.0,13808427.476817682
2015-02-13T00:00:00,3260249204.835,0.0,0.0,0.0,464843779.519416,0.0,0.0,0.0,0.0,0.0,14027110.978795351
2015-02-14T00:00:00,3584044452.9300013,0.0,0.0,0.0,478628273.805,0.0,0.0,0.0,0.0,0.0,14781593.656966127
2015-02-15T00:00:00,3224923703.82,0.0,0.0,0.0,437498150.809357,0.0,0.0,0.0,0.0,0.0,13857226.31646614
2015-02-16T00:00:00,3266299219.505,0.0,0.0,0.0,440018926.38473,0.0,0.0,0.0,0.0,0.0,14144234.71707467
2015-02-17T00:00:00,3357729670.42,0.0,0.0,0.0,446336819.598956,0.0,0.0,0.0,0.0,0.0,14306162.074009525
2015-02-18T00:00:00,3250184845.45,0.0,0.0,0.0,439285029.698229,0.0,0.0,0.0,0.0,0.0,13866125.569611063
